cohort,epicurus_in_sample,variant,pool,arm,n_patients,hits@5,hits@10,hits@20,hits@budget10pct,recall@20,precision@20,mrr,median_pos_rank,positive_retention_mean,all_positives_retained
improve,False,variant_B_gate,MEDIUM,pvac_style_prime,61,0.3770491803278688,0.7377049180327869,1.1639344262295082,0.819672131147541,0.3296903766731353,0.05819672131147541,0.18961186411665792,51.38793103448276,0.5983533857376585,False
improve,False,variant_B_gate,SMALL,genuine_prime,61,0.45901639344262296,0.8032786885245902,1.1967213114754098,0.6229508196721312,0.4870562770562771,0.0598360655737705,0.22256612571363207,30.84,0.3570034937480513,False
improve,False,variant_B_gate,SMALL,frozen_epicurus,61,0.4426229508196721,0.7049180327868853,1.180327868852459,0.5573770491803278,0.4681601731601731,0.05901639344262296,0.18898002006995251,30.67,0.3570034937480513,False
improve,False,variant_B_gate,SMALL,pvac_style_prime,61,0.3770491803278688,0.6721311475409836,1.1147540983606556,0.5409836065573771,0.46859595959595957,0.05573770491803279,0.19068371951961302,31.32,0.3570034937480513,False
multimer,True,variant_A_oracle,LARGE,genuine_prime,19,0.631578947368421,0.8947368421052632,1.105263157894737,1.1578947368421053,0.7298245614035088,0.05572755417956656,0.3189526476202856,65.78947368421052,,
multimer,True,variant_A_oracle,LARGE,frozen_epicurus,19,0.7368421052631579,1.2105263157894737,1.263157894736842,1.263157894736842,0.7333333333333334,0.06362229102167183,0.3369515054073148,52.94736842105263,,
multimer,True,variant_A_oracle,LARGE,pvac_style_prime,19,0.6842105263157896,0.8421052631578947,1.0526315789473686,1.2105263157894737,0.6350877192982457,0.05309597523219815,0.34824915354356867,62.6578947368421,,
multimer,True,variant_A_oracle,MEDIUM,genuine_prime,19,0.9115789473684209,1.1431578947368422,1.2989473684210526,1.1663157894736842,0.7823157894736842,0.06816374269005848,0.44477895329487327,33.682105263157894,,
multimer,True,variant_A_oracle,MEDIUM,frozen_epicurus,19,1.0778947368421052,1.2652631578947366,1.3473684210526315,1.2778947368421052,0.7543859649122807,0.07058479532163744,0.45887034660813064,27.596842105263157,,
multimer,True,variant_A_oracle,MEDIUM,pvac_style_prime,19,0.8210526315789473,1.016842105263158,1.3115789473684212,1.1431578947368422,0.7418947368421054,0.06879532163742691,0.4839466285331514,32.118947368421054,,
multimer,True,variant_A_oracle,SMALL,genuine_prime,19,1.0947368421052632,1.2568421052631578,1.3684210526315792,1.1452631578947368,0.8065964912280702,0.07660818713450294,0.5972208779932822,17.563157894736843,,
multimer,True,variant_A_oracle,SMALL,frozen_epicurus,19,1.2252631578947368,1.32,1.4568421052631577,1.2421052631578948,0.8498245614035089,0.08102923976608188,0.6077405935552856,14.564210526315792,,
multimer,True,variant_A_oracle,SMALL,pvac_style_prime,19,0.9894736842105263,1.2821052631578949,1.4042105263157898,1.1242105263157895,0.7971929824561405,0.07839766081871347,0.6275714036721061,16.693684210526314,,
multimer,True,variant_B_gate,LARGE,genuine_prime,19,0.631578947368421,0.8947368421052632,1.105263157894737,1.1578947368421053,0.7298245614035088,0.05572755417956656,0.3189526476202856,65.78947368421052,1.0,True
multimer,True,variant_B_gate,LARGE,frozen_epicurus,19,0.7368421052631579,1.2105263157894737,1.263157894736842,1.263157894736842,0.7333333333333334,0.06362229102167183,0.3369515054073147,52.94736842105263,1.0,True
multimer,True,variant_B_gate,LARGE,pvac_style_prime,19,0.631578947368421,0.8421052631578947,1.0526315789473684,1.2105263157894737,0.6350877192982457,0.05309597523219815,0.3464947675786564,62.73684210526316,1.0,True
multimer,True,variant_B_gate,MEDIUM,genuine_prime,19,0.631578947368421,0.8947368421052632,1.105263157894737,0.8421052631578947,0.8137254901960783,0.058479532163742694,0.3140388622157804,27.705882352941178,0.8140350877192982,False
multimer,True,variant_B_gate,MEDIUM,frozen_epicurus,19,0.6842105263157895,1.105263157894737,1.263157894736842,1.0,0.8676470588235294,0.06637426900584796,0.33175763482781023,22.029411764705884,0.8140350877192982,False
multimer,True,variant_B_gate,MEDIUM,pvac_style_prime,19,0.631578947368421,0.8421052631578947,1.0526315789473684,0.7368421052631579,0.7549019607843137,0.05584795321637427,0.33666812683603126,26.176470588235293,0.8140350877192982,False
multimer,True,variant_B_gate,SMALL,genuine_prime,19,0.5789473684210527,0.8421052631578947,1.0526315789473684,0.631578947368421,0.8777777777777778,0.052923976608187144,0.29563681932102986,14.933333333333334,0.7175438596491227,False
multimer,True,variant_B_gate,SMALL,frozen_epicurus,19,0.6842105263157895,0.8947368421052632,1.1578947368421053,0.7368421052631579,0.9166666666666666,0.05818713450292398,0.32111528822055135,13.133333333333333,0.7175438596491227,False
multimer,True,variant_B_gate,SMALL,pvac_style_prime,19,0.5789473684210527,0.7894736842105263,0.9473684210526315,0.5789473684210527,0.7777777777777778,0.0476608187134503,0.33266499582289055,17.8,0.7175438596491227,False
